ID,CARGO,REGION.ID,TERRITORIO.ID,CANDIDATO.ID,ANO,PARTIDO.ID
132,CONCEJALES,7,333,6311,2021,1
133,CONCEJALES,5,413,4132,2021,38
134,DIPUTADOS,7,48,16695,2013,3
135,CONSEJEROS REGIONALES,15,330,18081,2013,38
136,CONCEJALES,6,260,4916,2021,22
137,CONCEJALES,9,272,8668,2021,33
138,CONCEJALES,14,288,14072,2021,22
139,CONSEJEROS REGIONALES,2,457,17091,2013,40
140,CONCEJALES,9,111,8233,2021,38
141,CONCEJALES,10,256,9669,2021,0
142,CONCEJALES,1,353,1649,2021,47
143,CONCEJALES,13,480,13792,2021,8
144,CONCEJALES,6,149,4722,2021,8
145,CONCEJALES,13,419,13411,2021,38
146,CONCEJALES,9,202,8462,2021,13
147,ALCALDES,8,217,655,2021,38
148,CONCEJALES,6,346,5353,2021,38
149,CONCEJALES,5,251,3438,2021,3
150,CONCEJALES,8,127,7037,2021,1
151,CONCEJALES,13,232,11535,2021,43
152,CONCEJALES,9,341,8822,2021,38
153,CONSEJEROS REGIONALES,1,225,18790,2017,38
154,CONCEJALES,6,301,5077,2021,48
155,CONSEJEROS REGIONALES,1,225,17002,2017,38
156,CONCEJALES,10,374,10087,2021,8
157,ALCALDES,13,155,1071,2021,38
158,CONVENCIONALES CONSTITUYENTES,3,47,15233,2021,22
159,CONCEJALES,14,467,14247,2021,38
160,CONCEJALES,13,444,13726,2021,22
161,CONSEJEROS REGIONALES,7,172,530,2017,8
162,CONSEJEROS REGIONALES,3,159,17138,2013,38
163,CONSEJEROS REGIONALES,5,471,19035,2017,38
164,ALCALDES,7,398,572,2021,8
165,CONCEJALES,13,421,13463,2021,38
166,CONCEJALES,14,267,14023,2021,2
167,CONCEJALES,9,449,9048,2021,5
168,CONCEJALES,14,245,13965,2021,38
169,ALCALDES,5,103,193,2021,38
170,CONCEJALES,10,123,9447,2021,8
171,CONCEJALES,5,228,3337,2021,38
172,CONCEJALES,13,237,11696,2021,3
173,DIPUTADOS,8,26,18402,2017,7
174,CONCEJALES,13,121,10875,2021,38
175,CONSEJEROS REGIONALES,1,225,16991,2013,6
176,CONCEJALES,5,227,3310,2021,6
177,CONCEJALES,4,160,2463,2021,13
178,CONCEJALES,6,303,5099,2021,38
179,CONCEJALES,13,120,10802,2021,38
180,CONSEJEROS REGIONALES,8,87,17475,2013,3
181,CONSEJEROS REGIONALES,9,279,19289,2017,13
182,CONCEJALES,13,233,11568,2021,8
183,CONCEJALES,13,226,11382,2021,13
184,CONCEJALES,5,407,4061,2021,10
185,DIPUTADOS,8,50,16705,2013,8
186,CONCEJALES,13,358,12889,2021,38
187,CONCEJALES,13,418,13400,2021,0
188,CONCEJALES,13,236,11664,2021,22
189,CONCEJALES,13,435,13643,2021,48
190,CONCEJALES,13,293,12304,2021,0
191,CONSEJEROS REGIONALES,13,440,12026,2017,7
192,CONCEJALES,7,403,6484,2021,8
193,CONCEJALES,5,477,4407,2021,38
194,CONSEJEROS REGIONALES,7,172,19110,2017,0
195,SENADORES,7,13,18131,2017,0
196,CONCEJALES,9,82,8175,2021,22
197,CONCEJALES,10,373,10071,2021,38
198,CONCEJALES,15,88,14295,2021,35
199,CONCEJALES,10,362,9942,2021,0
200,CONCEJALES,7,253,6128,2021,8
201,CONCEJALES,13,390,13179,2021,0
202,CONSEJEROS REGIONALES,4,252,2391,2017,23
203,DIPUTADOS,9,28,788,2017,6
204,CONSEJEROS REGIONALES,8,153,17528,2017,0
205,ALCALDES,5,103,190,2021,1
206,CONCEJALES,8,465,8101,2021,8
207,CONSEJEROS REGIONALES,10,256,19316,2017,13
208,CONCEJALES,7,338,6369,2021,38
209,ALCALDES,8,97,630,2021,38
210,CONCEJALES,5,479,4492,2021,1
211,CONCEJALES,5,484,4528,2021,38
212,CONCEJALES,13,424,13515,2021,2
213,CONCEJALES,16,412,15002,2021,35
214,SENADORES,2,8,16500,2013,38
215,CONSEJEROS REGIONALES,15,88,19637,2017,4
216,DIPUTADOS,13,72,12161,2017,43
217,CONSEJEROS REGIONALES,7,253,19111,2017,13
218,CONCEJALES,12,365,10589,2021,38
219,CONCEJALES,6,386,5449,2021,38
220,CONCEJALES,6,212,4797,2021,38
221,CONCEJALES,13,424,13526,2021,38
222,CONSEJEROS REGIONALES,12,276,19408,2017,8
223,ALCALDES,13,428,1266,2021,3
224,CONCEJALES,10,115,9392,2021,38
225,CONCEJALES,10,368,9993,2021,8
226,CONSEJEROS REGIONALES,2,193,17077,2013,38
227,CONCEJALES,13,147,10932,2021,10
228,CONCEJALES,1,353,1640,2021,3
229,CONCEJALES,3,78,2012,2021,38
230,CONSEJEROS REGIONALES,8,308,17585,2017,38
231,CONCEJALES,7,289,6218,2021,13
232,CONCEJALES,13,236,11681,2021,16
233,CONSEJEROS REGIONALES,11,74,19360,2017,38
234,CONCEJALES,8,109,7012,2021,38
235,CONCEJALES,8,426,7794,2021,13
236,DIPUTADOS,2,36,16568,2013,4
237,CONVENCIONALES CONSTITUYENTES,8,26,15594,2021,38
238,CONCEJALES,13,454,13745,2021,10
239,CONCEJALES,5,413,4122,2021,38
240,CONCEJALES,13,194,11147,2021,8
241,CONCEJALES,8,377,7768,2021,8
242,CONCEJALES,4,234,2535,2021,38
243,CONCEJALES,7,253,6122,2021,38
244,CONVENCIONALES CONSTITUYENTES,14,30,16291,2021,38
245,CONCEJALES,10,360,9883,2021,38
246,CONVENCIONALES CONSTITUYENTES,9,29,15747,2021,13
247,SENADORES,12,7,16529,2013,38
248,CONVENCIONALES CONSTITUYENTES,13,18,16127,2021,3
249,CONSEJEROS REGIONALES,7,253,17433,2013,8
250,CONCEJALES,13,336,12600,2021,38
251,CONSEJEROS REGIONALES,7,253,6094,2017,10
252,CONCEJALES,13,310,12337,2021,38
253,ALCALDES,5,196,221,2021,0
254,CONCEJALES,3,220,2215,2021,38
255,CONVENCIONALES CONSTITUYENTES,13,73,16240,2021,38
256,CONSEJEROS REGIONALES,4,197,17199,2013,11
257,CONSEJEROS REGIONALES,9,118,8803,2017,38
258,CONCEJALES,13,454,13761,2021,38
259,CONSEJEROS REGIONALES,12,276,17775,2013,1
260,CONCEJALES,8,298,7657,2021,3
261,CONCEJALES,6,132,4610,2021,0
262,CONCEJALES,13,480,13803,2021,13
263,CONSEJEROS REGIONALES,13,441,19543,2017,2
264,CONSEJEROS REGIONALES,14,387,13852,2017,38
265,CONCEJALES,5,477,4365,2021,38
266,CONSEJEROS REGIONALES,6,99,17389,2013,7
267,CONCEJALES,5,327,3640,2021,8
268,CONCEJALES,13,435,13623,2021,22
269,CONCEJALES,13,232,11490,2021,38
270,CONCEJALES,6,414,5645,2021,3
271,CONCEJALES,15,88,14287,2021,38
272,CONCEJALES,10,420,10160,2021,3
273,CONSEJEROS REGIONALES,5,379,18992,2017,13
274,CONCEJALES,5,379,3850,2021,22
275,ALCALDES,2,457,67,2021,38
276,CONCEJALES,10,205,9568,2021,22
277,CONCEJALES,5,396,4021,2021,6
278,CONCEJALES,7,403,6482,2021,8
279,CONCEJALES,15,88,14285,2021,22
280,CONCEJALES,13,355,12822,2021,11
281,CONCEJALES,8,217,7359,2021,13
282,CONCEJALES,5,113,3044,2021,38
283,CONCEJALES,9,148,8281,2021,38
284,CONVENCIONALES CONSTITUYENTES,5,69,15349,2021,4
285,CONCEJALES,13,323,12438,2021,38
286,ALCALDES,13,258,1148,2021,38
287,CONCEJALES,10,101,9381,2021,33
288,CONCEJALES,5,156,3182,2021,9
289,CONCEJALES,12,460,10651,2021,38
290,CONCEJALES,16,483,15109,2021,6
291,CONCEJALES,9,458,9134,2021,22
292,CONCEJALES,5,114,3110,2021,38
293,CONCEJALES,8,266,7510,2021,48
294,ALCALDES,5,228,234,2021,38
295,CONCEJALES,10,362,9950,2021,13
296,CONCEJALES,6,432,5730,2021,13
297,ALCALDES,13,258,1147,2021,43
298,DIPUTADOS,9,29,18468,2017,2
299,CONSEJEROS REGIONALES,13,161,19448,2017,10
300,CONCEJALES,6,297,5062,2021,38
301,CONCEJALES,8,201,7295,2021,38
302,CONCEJALES,9,170,8405,2021,8
303,CONCEJALES,13,92,10741,2021,38
304,CONCEJALES,13,428,13585,2021,10
305,CONVENCIONALES CONSTITUYENTES,6,21,15499,2021,0
306,CONCEJALES,1,146,1498,2021,38
307,CONCEJALES,7,172,5934,2021,38
308,CONCEJALES,5,105,3018,2021,8
309,CONCEJALES,8,87,6951,2021,38
310,CONCEJALES,16,142,14658,2021,22
311,CONCEJALES,8,264,7493,2021,22
312,CONCEJALES,8,77,6867,2021,38
313,CONCEJALES,13,92,10687,2021,0
314,CONCEJALES,13,237,11695,2021,38
315,CONCEJALES,6,301,5065,2021,38
316,CONCEJALES,13,223,11320,2021,13
317,CONSEJEROS REGIONALES,4,197,18940,2017,38
318,CONCEJALES,8,304,7693,2021,38
319,CONCEJALES,9,478,9280,2021,6
320,CONCEJALES,4,222,2512,2021,38
321,DIPUTADOS,7,44,16678,2013,38
322,CONCEJALES,6,325,5184,2021,0
323,CONCEJALES,9,449,9007,2021,4
324,CONCEJALES,7,450,6762,2021,38
325,CONCEJALES,14,267,14004,2021,38
326,CONCEJALES,3,124,2047,2021,5
327,CONCEJALES,5,477,4381,2021,3
328,CONCEJALES,13,390,13194,2021,8
329,CONCEJALES,6,190,4768,2021,38
330,CONSEJEROS REGIONALES,15,88,19614,2017,38
331,CONCEJALES,6,312,5176,2021,38
332,ALCALDES,16,463,1424,2021,38
333,CONCEJALES,7,445,6728,2021,1
334,ALCALDES,13,293,1171,2021,49
335,CONCEJALES,13,237,11725,2021,8
336,CONCEJALES,13,232,11505,2021,38
337,DIPUTADOS,7,46,16688,2013,6
338,CONCEJALES,7,445,6692,2021,3
339,CONVENCIONALES CONSTITUYENTES,13,15,15888,2021,38
340,CONCEJALES,1,146,1502,2021,38
341,DIPUTADOS,13,19,18635,2017,38
342,CONSEJEROS REGIONALES,7,253,19120,2017,6
343,CONCEJALES,14,267,14008,2021,38
344,CONSEJEROS REGIONALES,1,225,16980,2013,38
345,ALCALDES,13,359,1218,2021,1
346,CONSEJEROS REGIONALES,2,85,18802,2017,23
347,CONCEJALES,6,190,4727,2021,38
348,CONCEJALES,6,246,4867,2021,38
349,CONCEJALES,12,242,10478,2021,38
350,CONVENCIONALES CONSTITUYENTES,14,30,16308,2021,38
351,CONSEJEROS REGIONALES,5,413,17299,2017,6
352,CONCEJALES,8,264,7480,2021,38
353,ALCALDES,3,452,94,2021,10
354,CONSEJEROS REGIONALES,9,118,17604,2013,1
355,CONCEJALES,6,212,4794,2021,33
356,CONCEJALES,13,383,13136,2021,8
357,CONCEJALES,13,480,13794,2021,38
358,CONCEJALES,16,409,14962,2021,0
359,CONCEJALES,13,376,5906,2021,13
360,CONCEJALES,6,260,4910,2021,38
361,CONCEJALES,3,78,1988,2021,8
362,CONCEJALES,13,226,11359,2021,3
363,CONCEJALES,13,237,11738,2021,2
364,CONCEJALES,16,129,14531,2021,1
365,CONSEJEROS REGIONALES,7,253,6698,2017,23
366,CONSEJEROS REGIONALES,14,387,17962,2017,13
367,CONCEJALES,6,312,5167,2021,3
368,CONCEJALES,9,449,9041,2021,5
369,CONSEJEROS REGIONALES,3,124,18873,2017,40
370,CONSEJEROS REGIONALES,7,445,17449,2013,13
371,ALCALDES,6,329,440,2021,8
372,CONCEJALES,14,322,14115,2021,10
373,CONCEJALES,9,166,8361,2021,38
374,ALCALDES,13,147,1067,2021,38
375,CONCEJALES,5,484,4551,2021,38
376,CONCEJALES,16,142,14683,2021,13
377,CONCEJALES,6,140,4647,2021,13
378,CONCEJALES,13,435,13642,2021,48
379,CONCEJALES,5,94,2959,2021,8
380,CONSEJEROS REGIONALES,2,193,18860,2017,3
381,CONVENCIONALES CONSTITUYENTES,5,71,15352,2021,38
382,DIPUTADOS,14,30,18707,2017,9
383,DIPUTADOS,12,70,16805,2013,38
384,CONCEJALES,10,374,10092,2021,0
385,CONCEJALES,8,87,6931,2021,8
386,CONCEJALES,13,408,13306,2021,13
387,ALCALDES,10,101,881,2021,38
388,CONSEJEROS REGIONALES,8,308,17577,2013,3
389,CONCEJALES,7,410,6571,2021,1
390,CONCEJALES,7,262,6152,2021,8
391,CONCEJALES,13,232,11502,2021,13
392,CONCEJALES,16,335,14787,2021,0
393,CONVENCIONALES CONSTITUYENTES,2,36,15180,2021,38
394,CONVENCIONALES CONSTITUYENTES,5,71,15401,2021,43
395,SENADORES,8,2,16516,2013,0
396,CONCEJALES,9,272,8685,2021,38
397,CONSEJEROS REGIONALES,8,153,19197,2017,13
398,SENADORES,15,0,18045,2017,12
399,CONSEJEROS REGIONALES,14,467,16295,2013,13
400,CONCEJALES,13,336,12619,2021,38
401,CONCEJALES,13,247,11844,2021,38
402,CONSEJEROS REGIONALES,8,308,19235,2017,23
403,CONCEJALES,13,337,12667,2021,38
404,CONSEJEROS REGIONALES,13,436,17853,2017,6
405,CONCEJALES,13,278,12164,2021,8
406,CONVENCIONALES CONSTITUYENTES,5,69,15296,2021,38
407,CONSEJEROS REGIONALES,5,265,4090,2013,3
408,CONCEJALES,7,289,6179,2021,38
409,CONCEJALES,7,262,6156,2021,22
410,CONCEJALES,11,89,10226,2021,8
411,CONSEJEROS REGIONALES,4,252,2782,2017,38
412,CONCEJALES,13,383,13125,2021,13
413,CONSEJEROS REGIONALES,3,159,1356,2013,6
414,ALCALDES,6,350,463,2021,3
415,CONCEJALES,10,361,9907,2021,13
416,CONCEJALES,4,399,2799,2021,3
417,CONCEJALES,6,301,5086,2021,13
418,CONCEJALES,15,210,14406,2021,38
419,CONCEJALES,10,316,9735,2021,1
420,CONCEJALES,3,124,2050,2021,22
421,CONCEJALES,8,459,8049,2021,38
422,CONCEJALES,16,305,14728,2021,38
423,ALCALDES,7,144,512,2021,38
424,CONSEJEROS REGIONALES,5,227,17233,2013,38
425,CONCEJALES,5,407,4070,2021,38
426,ALCALDES,16,378,1394,2021,38
427,CONSEJEROS REGIONALES,13,437,17859,2017,8
428,CONCEJALES,7,476,6805,2021,38
429,DIPUTADOS,5,71,18292,2017,4
430,CONCEJALES,13,390,13202,2021,38
431,CONVENCIONALES CONSTITUYENTES,12,34,15879,2021,38
432,CONCEJALES,13,355,12780,2021,48
433,CONVENCIONALES CONSTITUYENTES,15,14,16331,2021,45
434,CONCEJALES,7,125,5798,2021,0
435,CONCEJALES,3,78,2011,2021,38
436,CONCEJALES,16,142,14674,2021,38
437,CONCEJALES,15,88,14267,2021,38
438,CONSEJEROS REGIONALES,8,153,703,2017,2
439,CONVENCIONALES CONSTITUYENTES,6,21,15474,2021,38
440,CONCEJALES,10,423,10192,2021,3
441,CONCEJALES,13,359,12959,2021,1
442,CONVENCIONALES CONSTITUYENTES,5,71,15360,2021,38
443,CONSEJEROS REGIONALES,13,444,13704,2013,7
444,CONCEJALES,5,479,4425,2021,38
445,CONCEJALES,15,88,14299,2021,0
446,CONCEJALES,5,251,3455,2021,1
